Title,Genre,User Rating,Number of Votes,Runtime,Year,Stars,Certificate,Metascore,Gross,Episode,Episode Title
Assassination Classroom,"Animation, Action, Comedy",8,"19,189",23 min,(2013–2016),"Jun Fukuyama,Mai Fuchigami,Bryce Papenbrook,Vic Mignogna",TV-14,,19189,0,
Dragon Ball Super: Super Hero,"Animation, Action, Adventure",7.1,"13,092",100 min,-2022,,PG-13,65,13092,0,
Serial Experiments Lain,"Animation, Drama, Horror",8.1,"15,901",316 min,-1998,"Kaori Shimizu,Bridget Hoffman,Randy McPherson,Dan Lorge",TV-14,,15901,0,
Goblin Slayer,"Animation, Action, Adventure",7.5,"9,193",30 min,(2018– ),"Yûichirô Umehara,Yui Ogura,Brad Hawkins,Hayden Daviau",TV-MA,,9193,0,
Belle,"Animation, Adventure, Drama",7.1,"15,463",121 min,-2021,,PG,83,15463,0,
Overlord,"Animation, Action, Adventure",7.7,"12,403",30 min,(2015– ),"Satoshi Hino,Chris Guerrero,Yumi Hara,Masayuki Katô",TV-MA,,12403,0,
Titan A.E.,"Animation, Action, Adventure",6.6,"62,971",94 min,-2000,,PG,48,62971,0,
Elfen Lied,"Animation, Action, Drama",7.9,"35,523",24 min,-2004,"Sanae Kobayashi,Chihiro Suzuki,Mamiko Noto,Sam Saletta",TV-MA,,35523,0,
Yu-Gi-Oh!,"Animation, Action, Adventure",7.3,"22,571",24 min,(I) (2000–2006),"Argiris Pavlidis,Dan Green,Wayne Grayson,Amy Birnbaum",TV-Y,,22571,0,
The Misfit of Demon King Academy,"Animation, Adventure, Comedy",7.3,"4,493",23 min,(2020–2023),"Aleks Le,Kayli Mills,Brianna Knickerbocker,Griffin Puatu",TV-14,,4493,0,
Dragon Ball Super: Broly,"Animation, Action, Adventure",7.7,"30,266",100 min,-2018,,PG,59,30266,0,
Whisper of the Heart,"Animation, Drama, Family",7.8,"68,308",111 min,-1995,,G,75,68308,0,
The Last Unicorn,"Animation, Adventure, Drama",7.3,"28,506",92 min,-1982,,G,70,28506,0,
Winnie the Pooh,"Animation, Adventure, Comedy",7.1,"27,241",63 min,-2011,,G,74,27241,0,
Sailor Moon,"Animation, Action, Adventure",7.7,"7,089",30 min,(1992–1997),"Stephanie Sheh,Kotono Mitsuishi,Kate Higgins,Aya Hisakawa",TV-PG,,7089,0,
